,Name,Course Name,Position,Strokes Under,Total Strokes,First Round,Second Round,Third Round,Fourth Round,Fourth Round Tee Time,Amateur Status,Tournament Status,ID
235,Shane Lowry,Pinehurst Resort & Country Club (Course No. 2),T19,+4,284,74,71,70,69,11:31am,False,complete,33204
236,Aaron Rai,Pinehurst Resort & Country Club (Course No. 2),T19,+4,284,69,74,68,73,1:26pm,False,complete,46414
237,Max Greyserman,Pinehurst Resort & Country Club (Course No. 2),T21,+5,285,71,74,72,68,9:58am,False,complete,51977
238,Daniel Berger,Pinehurst Resort & Country Club (Course No. 2),T21,+5,285,73,70,73,69,10:09am,False,complete,40026
239,Min Woo Lee,Pinehurst Resort & Country Club (Course No. 2),T21,+5,285,73,69,72,71,11:53am,False,complete,37378
240,Stephan Jaeger,Pinehurst Resort & Country Club (Course No. 2),T21,+5,285,70,70,73,72,12:15pm,False,complete,36799
241,Brian Harman,Pinehurst Resort & Country Club (Course No. 2),T21,+5,285,71,71,71,72,12:26pm,False,complete,27644
242,Brooks Koepka,Pinehurst Resort & Country Club (Course No. 2),T26,+6,286,70,75,71,70,10:31am,False,complete,36689
243,Zac Blair,Pinehurst Resort & Country Club (Course No. 2),T26,+6,286,70,69,75,72,11:31am,False,complete,40058
244,Chris Kirk,Pinehurst Resort & Country Club (Course No. 2),T26,+6,286,71,71,72,72,11:42am,False,complete,30926
245,Neal Shipley,Pinehurst Resort & Country Club (Course No. 2),T26,+6,286,70,73,71,72,12:04pm,True,complete,63807
246,Tom Kim,Pinehurst Resort & Country Club (Course No. 2),T26,+6,286,71,68,71,76,1:26pm,False,complete,55182
247,Tyrrell Hatton,Pinehurst Resort & Country Club (Course No. 2),T26,+6,286,68,71,70,77,1:48pm,False,complete,34363
248,Adam Scott,Pinehurst Resort & Country Club (Course No. 2),T32,+7,287,70,72,76,69,9:09am,False,complete,24502
249,Si Woo Kim,Pinehurst Resort & Country Club (Course No. 2),T32,+7,287,71,72,74,70,9:47am,False,complete,37455
250,Sahith Theegala,Pinehurst Resort & Country Club (Course No. 2),T32,+7,287,77,68,72,70,9:58am,False,complete,51634
